,Humidity,Cloudiness,Wind Speed,Country,City,Latitude,Longitude,Max Temperature,Date
255,24,0,10.27,AU,Port Pirie,-33.1833,138.0167,73.49,1635136695
256,70,74,12.48,TH,Bo Phloi,14.3236,99.5161,81.91,1635136695
257,86,100,46.17,GL,Tasiilaq,65.6145,-37.6368,30.36,1635136695
258,85,100,3.06,NZ,Te Anau,-45.4167,167.7167,60.8,1635136487
259,82,1,5.75,US,San Antonio,29.4241,-98.4936,79.25,1635136440
260,72,98,7.23,LK,Trincomalee,8.5711,81.2335,82.99,1635136696
261,61,62,7.74,PT,Ponta do Sol,32.6667,-17.1,70.43,1635136673
262,93,91,5.5,NZ,Ngunguru,-35.6167,174.5,62.58,1635136697
263,81,100,2.13,SS,Raja,8.4596,25.678,73.85,1635136697
264,80,0,10.49,MX,Guerrero Negro,27.9769,-114.0611,64.85,1635136698
265,45,4,3.22,MN,Ulaangom,49.9811,92.0667,43.21,1635136698
266,26,0,5.91,IR,Gerāsh,27.6652,54.1371,60.94,1635136698
267,87,90,4.61,CA,Smithers,54.7804,-127.1743,37.72,1635136436
268,38,55,8.77,LY,Sabha,27.0377,14.4283,73.69,1635136699
269,23,14,1.9,NA,Opuwo,-18.0607,13.84,64.74,1635136699
270,39,60,35.39,AR,Viedma,-40.8135,-62.9967,63.91,1635136625
271,71,80,6.89,PH,San Policarpo,12.1791,125.5072,84.24,1635136699
272,76,12,1.52,CL,Tocopilla,-22.092,-70.1979,58.84,1635136700
273,68,3,9.91,RU,Vysokogornyy,50.1167,139.15,44.53,1635136700
274,83,75,10.36,EC,Manta,-0.95,-80.7333,73.18,1635136700
275,74,42,13.38,MV,Hithadhoo,-0.6,73.0833,82.94,1635136701
276,100,90,9.22,FI,Rovaniemi,66.5,25.7167,27.81,1635136701
277,85,100,4.99,RU,Vuktyl,63.8567,57.3094,28.69,1635136701
278,69,46,2.89,IN,Mormugao,15.4,73.8,80.78,1635136702
279,80,0,8.95,RU,Severnyy,50.677,36.5532,32.04,1635136702
280,20,0,0.0,IR,Kermanshah,34.3142,47.065,38.3,1635136462
281,97,100,9.19,RU,Inta,66.0317,60.1659,26.42,1635136703
282,67,1,6.91,US,Altus,34.6381,-99.334,62.67,1635136703
283,73,31,3.11,NZ,Kaeo,-35.1,173.7833,66.88,1635136703
284,74,97,3.53,CN,Liancheng,24.0519,105.075,63.37,1635136703
285,91,100,4.52,GA,Gamba,-2.65,10.0,75.9,1635136704
286,71,71,13.89,NC,Vao,-22.6667,167.4833,70.88,1635136704
287,80,100,10.49,RU,Lavrentiya,65.5833,-171.0,21.42,1635136444
288,57,12,3.87,IN,Diu,20.7141,70.9822,82.44,1635136705
289,78,58,6.42,GL,Qasigiannguit,68.8193,-51.1922,-0.94,1635136705
290,44,0,5.75,KR,Seoul,37.5683,126.9778,63.79,1635136511
291,62,93,2.93,ID,Pringsewu,-5.3582,104.9744,88.65,1635136705
292,68,61,13.27,SO,Giohar,2.7809,45.5005,80.13,1635136706
293,96,99,7.92,RU,Bezenchuk,52.982,49.4333,38.01,1635136706
294,58,0,4.76,AR,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,57.83,1635136706
295,84,11,8.95,GH,Anloga,5.7947,0.8973,77.22,1635136707
296,64,55,10.27,CN,Kuandian,40.7286,124.7847,54.99,1635136707
297,15,0,11.5,AU,Narrabri,-30.3167,149.7833,79.52,1635136707
298,98,100,3.76,RU,Kondinskoye,59.6481,67.41,35.85,1635136708
299,35,0,0.0,CL,Santiago,-33.4569,-70.6483,65.86,1635136437
300,39,6,7.94,RU,Novobureyskiy,49.798,129.8774,53.29,1635136708
301,38,0,9.4,ZA,Springbok,-29.6643,17.8865,56.37,1635136708
302,36,44,6.35,BW,Dekar,-21.5333,21.9333,71.64,1635136709
303,98,90,0.25,CG,Ouésso,1.6136,16.0517,69.08,1635136709
304,45,7,6.26,GL,Narsaq,60.9167,-46.05,30.42,1635136657
305,75,100,1.99,US,Eureka,40.8021,-124.1637,53.64,1635136614
306,74,69,1.92,NZ,Otane,-39.8833,176.6333,68.0,1635136709
307,63,100,16.42,RU,Severnoye,56.3491,78.3619,45.23,1635136710
308,89,90,0.0,US,College,64.8569,-147.8028,26.26,1635136710
309,64,40,3.18,ET,Shambu,9.5667,37.1,55.62,1635136711
310,64,40,5.99,TW,Kaohsiung City,22.6163,120.3133,89.1,1635136711
311,91,100,9.1,AO,Lumeje,-11.55,20.7833,64.6,1635136711
312,64,0,6.51,MG,Antsohihy,-14.8796,47.9875,83.34,1635136712
313,30,0,8.34,IR,Khāsh,28.2211,61.2158,68.36,1635136516
314,94,92,7.29,RU,Leningradskiy,69.3833,178.4167,2.44,1635136712
315,55,90,8.05,AU,Mount Gambier,-37.8333,140.7667,58.91,1635136712
316,92,90,4.0,CA,Iqaluit,63.7506,-68.5145,29.93,1635136713
317,62,71,4.85,MM,Thaton,16.9206,97.3714,86.52,1635136713
318,92,40,3.44,US,Juneau,58.3019,-134.4197,42.22,1635136612
319,84,24,11.03,MX,San Quintín,30.4833,-115.95,62.44,1635136713
320,67,100,8.23,PG,Vanimo,-2.6741,141.3028,85.14,1635136714
321,85,67,3.91,JM,Black River,18.0264,-77.8487,82.4,1635136487
322,88,75,2.3,BO,Santa Cruz de la Sierra,-17.8,-63.1667,65.66,1635136714
323,81,69,6.17,PE,Camaná,-16.6228,-72.7111,61.61,1635136714
324,93,16,3.0,GB,Huntingdon,52.3305,-0.1865,53.44,1635136715
325,96,100,10.78,RU,Talnakh,69.4865,88.3972,26.19,1635136715
326,30,18,10.18,SD,Kutum,14.2,24.6667,70.72,1635136715
327,74,1,6.91,US,Redlands,34.0556,-117.1825,67.39,1635136617
328,71,100,5.06,RU,Novoagansk,61.9449,76.6625,30.49,1635136716
329,94,71,1.57,BR,Humaitá,-7.5061,-63.0208,74.91,1635136716
330,60,82,13.06,JP,Ushibukamachi,32.1906,130.0228,66.38,1635136716
331,61,97,10.78,ID,Waingapu,-9.6567,120.2641,88.09,1635136717
332,89,92,5.79,RU,Tilichiki,60.4667,166.1,13.06,1635136717
333,49,100,16.26,RU,Rebrikha,53.0733,82.3408,48.33,1635136717
334,66,99,5.39,US,Green River,41.5286,-109.4662,46.8,1635136605
335,88,75,5.99,GF,Cayenne,4.9333,-52.3333,80.1,1635136718
336,93,82,1.14,CA,Haines Junction,60.7522,-137.5108,21.15,1635136658
337,87,0,1.14,CL,Coquimbo,-29.9533,-71.3436,55.13,1635136718
338,76,1,13.8,US,Payette,44.0782,-116.9338,57.27,1635136718
339,62,0,2.26,BD,Netrakona,24.8833,90.7167,83.5,1635136719
340,51,3,16.24,CN,Gongzhuling,43.5008,124.8198,60.12,1635136719
341,91,90,10.0,US,Fernandina Beach,30.6697,-81.4626,77.09,1635136719
342,91,82,5.14,GQ,Bata,1.8639,9.7658,76.6,1635136719
343,84,1,1.99,US,La Palma,33.8464,-118.0467,65.43,1635136522
344,57,13,7.7,SO,Berbera,10.4396,45.0143,83.88,1635136720
345,90,50,2.26,BR,Jacareacanga,-6.2222,-57.7528,73.96,1635136720
346,58,88,1.12,CF,Birao,10.2849,22.7882,74.34,1635136721
